componente_curricular,codigo_componente,codigo_turma,campus_turma,local,ano,periodo,data_inicio,data_fim,docentes,descricao_horario,total_solicitacoes,capacidade_aluno,matriculados,tipo,data_consolidacao,situacao_turma,modalidade_educacao
"ECONOMIA REGIONAL E URBANA","ECONO0034","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","LOCAL A DEFINIR","2020","1","19/10/2020","12/02/2021","ROSALVO FERREIRA SANTOS","24N12","26","50","25","REGULAR","19/02/2021","CONSOLIDADA","PRESENCIAL"
"MONOGRAFIA I","ECONO0172","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","LOCAL A DEFINIR","2020","1","19/10/2020","12/02/2021","ANTONIO JOSE NASCIMENTO","35N12","14","50","14","REGULAR","18/02/2021","CONSOLIDADA","PRESENCIAL"
"ECONOMIA INTERNACIONAL I","ECONO0026","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","LOCAL A DEFINIR","2020","1","19/10/2020","12/02/2021","ANTON PETER MULLER","2N34 4N12","7","50","7","REGULAR","12/02/2021","CONSOLIDADA","PRESENCIAL"
"ORCAMENTO E FINANCAS PUBLICAS","ECONO0030","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","LOCAL A DEFINIR","2020","1","19/10/2020","12/02/2021","WAGNER NOBREGA","3N34 6N12","17","50","17","REGULAR","18/02/2021","CONSOLIDADA","PRESENCIAL"
"POLITICA E PLANEJAMENTO ECONOMICO","ECONO0031","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","LOCAL A DEFINIR","2020","1","19/10/2020","12/02/2021","WAGNER NOBREGA","35N12","22","50","22","REGULAR","18/02/2021","CONSOLIDADA","PRESENCIAL"
"ECONOMIA BRASILEIRA II","ECONO0033","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","LOCAL A DEFINIR","2020","1","19/10/2020","12/02/2021","FERNANDA ESPERIDIÃO, ROSALVO FERREIRA SANTOS","45N34","18","50","18","REGULAR","25/02/2021","CONSOLIDADA","PRESENCIAL"
"INTRODUCAO A ANALISE ECONOMICA","ECONO0004","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","LOCAL A DEFINIR","2020","1","19/10/2020","12/02/2021","LUIZ CARLOS DE SANTANA RIBEIRO","3N34 6N12","10","50","42","REGULAR","15/02/2021","CONSOLIDADA","PRESENCIAL"
"ECONOMIA MATEMATICA I","ECONO0018","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","LOCAL A DEFINIR","2020","1","19/10/2020","12/02/2021","PATRICIA PUGLIESI CARNEIRO","3N12 5N34","12","50","40","REGULAR","15/02/2021","CONSOLIDADA","PRESENCIAL"
"ECONOMIA POLITICA I","ECONO0008","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","LOCAL A DEFINIR","2020","1","19/10/2020","12/02/2021","PAULO SERGIO SOUZA FERREIRA","3N34 6N12","20","50","20","REGULAR","15/02/2021","CONSOLIDADA","PRESENCIAL"
"ANALISE MICROECONOMICA I","ECONO0015","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","LOCAL A DEFINIR","2020","1","19/10/2020","12/02/2021","ELMER NASCIMENTO MATOS","2N12 4N34","30","50","31","REGULAR","18/02/2021","CONSOLIDADA","PRESENCIAL"
