componente_curricular,codigo_componente,codigo_turma,campus_turma,local,ano,periodo,data_inicio,data_fim,docentes,descricao_horario,total_solicitacoes,capacidade_aluno,matriculados,tipo,data_consolidacao,situacao_turma,modalidade_educacao
"TEORIAS DA TRADUÇÃO E SUAS PRÁTICAS","LETR0045","TURMA 01","NÃO INFORMADO","Miniauditório de Letras","2019","1","29/03/2019","17/05/2019","JOYCE PALHA COLACA","6M2345  6T2345",,"17","17","REGULAR","01/08/2019","CONSOLIDADA","PRESENCIAL"
"AVALIAÇÃO CINÉTICO-FUNCIONAL","FISTR0052","TURMA 01A","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 09:00h-10:50h DFT - LABORATÓRIO DE FISIOTERAPIA 03 - CAMPUS SÃO CRISTÓVÃO<br/>4 - 07:00h-10:50h SALA DE AULA - DID 6 - 007","2019","1","29/04/2019","09/09/2019","EVALEIDE DINIZ DE OLIVEIRA","3M34 4M1234","19","22","19","REGULAR","19/09/2019","CONSOLIDADA","PRESENCIAL"
"AVALIAÇÃO CINÉTICO-FUNCIONAL","FISTR0052","TURMA 01B","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 11:00h-12:50h DFT - LABORATÓRIO DE FISIOTERAPIA 01 - CAMPUS SÃO CRISTÓVÃO<br/>4 - 07:00h-10:50h SALA DE AULA - DID 6 - 007","2019","1","29/04/2019","09/09/2019","EVALEIDE DINIZ DE OLIVEIRA","3M56 4M1234","18","20","18","REGULAR","19/09/2019","CONSOLIDADA","PRESENCIAL"
"BIOMECÂNICA I","FISTR0053","TURMA 01A","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 07:00h-08:50h SALA DE AULA - DID 6 - 007<br/>3 - 11:00h-12:50h DFT - LABORATÓRIO DE FISIOTERAPIA 04 - CAMPUS SÃO CRISTÓVÃO","2019","1","29/04/2019","09/09/2019","MIBURGE BOLIVAR GOIS JUNIOR","3M1256","20","22","20","REGULAR","03/09/2019","CONSOLIDADA","PRESENCIAL"
"BIOMECÂNICA I","FISTR0053","TURMA 01B","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 07:00h-08:50h SALA DE AULA - DID 6 - 007<br/>3 - 09:00h-10:50h DFT - LABORATÓRIO DE FISIOTERAPIA 04 - CAMPUS SÃO CRISTÓVÃO","2019","1","29/04/2019","09/09/2019","MIBURGE BOLIVAR GOIS JUNIOR","3M1234","19","22","19","REGULAR","03/09/2019","CONSOLIDADA","PRESENCIAL"
"DESENVOLVIMENTO NEUROPSICOMOTOR E PSICOMOTRICIDADE","FISTR0054","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","2 - 09:00h-10:50h SALA DE AULA - DID 6 - 007","2019","1","29/04/2019","09/09/2019","JOSIMARI MELO DE SANTANA","2M34","50","55","53","REGULAR","10/09/2019","CONSOLIDADA","PRESENCIAL"
"DIAGNÓSTICO POR IMAGEM","FISTR0051","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","6 - 09:00h-12:50h SALA DE AULA - DID 6 - 005","2019","1","29/04/2019","09/09/2019","JADER PEREIRA DE FARIAS NETO","6M3456","64","52","51","REGULAR","10/09/2019","CONSOLIDADA","PRESENCIAL"
"ETICA, DEONTOLOGIA E CIDADANIA","FISTR0060","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","4 - 11:00h-12:50h SALA DE AULA - DID 1 - 011","2019","1","29/04/2019","09/09/2019","EVALEIDE DINIZ DE OLIVEIRA","4M56","39","50","39","REGULAR","10/09/2019","CONSOLIDADA","PRESENCIAL"
"FISIOTERAPIA DERMATOFUNCIONAL","FISTR0071","TURMA 01A","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","4 - 09:00h-12:50h SALA DE AULA - DID 1 - 007<br/>6 - 07:00h-08:50h DFT - LABORATÓRIO DE FISIOTERAPIA 03 - CAMPUS SÃO CRISTÓVÃO","2019","1","29/04/2019","09/09/2019","PAULA MICHELE DOS SANTOS LEITE","4M3456 6M12","15","15","15","REGULAR","10/09/2019","CONSOLIDADA","PRESENCIAL"
"FISIOTERAPIA DERMATOFUNCIONAL","FISTR0071","TURMA 01B","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","4 - 07:00h-08:50h DFT - LABORATÓRIO DE FISIOTERAPIA 03 - CAMPUS SÃO CRISTÓVÃO<br/>4 - 09:00h-12:50h SALA DE AULA - DID 1 - 007","2019","1","29/04/2019","09/09/2019","PAULA MICHELE DOS SANTOS LEITE","4M123456","36","24","24","REGULAR","10/09/2019","CONSOLIDADA","PRESENCIAL"
