componente_curricular,codigo_componente,codigo_turma,campus_turma,local,ano,periodo,data_inicio,data_fim,docentes,descricao_horario,total_solicitacoes,capacidade_aluno,matriculados,tipo,data_consolidacao,situacao_turma,modalidade_educacao
"FUNDAMENTOS EM CIÊNCIAS AMBIENTAIS","ECIA0004","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","ANDREA NOVELLI","3T234","12","20","11","REGULAR","11/07/2021","CONSOLIDADA","PRESENCIAL"
"METODOLOGIA  CIENTÍFICA","ECIA0001","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","JOEL ALONSO PALOMINO ROMERO, SILVÂNIO SILVÉRIO LOPES DA COSTA","2T234","15","20","13","REGULAR","08/07/2021","CONSOLIDADA","PRESENCIAL"
"MODELAGEM AMBIENTAL","ECIA0005","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","JOSE JAILTON MARQUES","6T234","13","20","11","REGULAR","21/07/2021","CONSOLIDADA","PRESENCIAL"
"PREVENÇÃO E CONTROLE DA POLUIÇÃO","ECIA0003","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","BRUNO SANTOS SOUZA, INAURA CAROLINA CARNEIRO DA ROCHA","4T234","14","20","13","REGULAR","12/07/2021","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIO DE ACOMPANHAMENTO DE DISSERTAÇÃO I","ECIA0021","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","JOSE JAILTON MARQUES","6T1","1","1","1","REGULAR",,"CONSOLIDADA","PRESENCIAL"
"SEMINÁRIO DE ACOMPANHAMENTO DE DISSERTAÇÃO I","ECIA0021","TURMA 02","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","BRUNO SANTOS SOUZA","4T1","1","1","0","REGULAR",,"CANCELADA","PRESENCIAL"
"BIOESTATÍSTICA APLICADA À EDUCAÇÃO FÍSICA","PPGEF0009","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","RICARDO AURELIO CARVALHO SAMPAIO","3T1234","22","30","22","REGULAR","07/07/2021","CONSOLIDADA","PRESENCIAL"
"TÉCNICAS DE COMUNICAÇÃO ESCRITA DA PESQUISA CIENTÍFICA","PPGEF0002","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","ROGERIO BRANDAO WICHI","2M3456","9","12","9","REGULAR","10/07/2021","CONSOLIDADA","PRESENCIAL"
"TÉCNICAS DE COMUNICAÇÃO ESCRITA DA PESQUISA CIENTÍFICA","PPGEF0002","TURMA 02","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","DANILO RODRIGUES PEREIRA DA SILVA","6T1234","12","12","12","REGULAR","19/07/2021","CONSOLIDADA","PRESENCIAL"
"METODOLOGIA DA PESQUISA EM EDUCAÇÃO FÍSICA","PPGEF0001","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","THAYSE NATACHA QUEIROZ FERREIRA GOMES","4T1234","12","12","12","REGULAR","30/07/2021","CONSOLIDADA","PRESENCIAL"
