componente_curricular,codigo_componente,codigo_turma,campus_turma,local,ano,periodo,data_inicio,data_fim,docentes,descricao_horario,total_solicitacoes,capacidade_aluno,matriculados,tipo,data_consolidacao,situacao_turma,modalidade_educacao
"BIOESTATÍSTICA APLICADA À EDUCAÇÃO FÍSICA","PPGEF0009","TURMA 01","NÃO INFORMADO","3 - 13:00h-17:00 SALA DE AULA - DID 7 - 007","2022","1","07/03/2022","18/06/2022","ROBERTO JERONIMO DOS SANTOS SILVA","3T1234","43","55","42","REGULAR","30/07/2022","CONSOLIDADA","PRESENCIAL"
"DOCÊNCIA NO ENSINO SUPERIOR EM EDUCAÇÃO FÍSICA","PPGEF0003","TURMA 01","NÃO INFORMADO","2 - 15:00h-19:00 Sala de aula 302 - DID VII","2022","1","07/03/2022","18/06/2022","AFRANIO DE ANDRADE BASTOS","2T3456","27","35","27","REGULAR","28/06/2022","CONSOLIDADA","PRESENCIAL"
"METODOLOGIA DA PESQUISA EM EDUCAÇÃO FÍSICA","PPGEF0001","TURMA 01","NÃO INFORMADO","4 - 13:00h-17:00 Sala de aula 202 - DID VII","2022","1","07/03/2022","18/06/2022","ALUÍSIO HENRIQUE RODRIGUES DE ANDRADE LIMA, THAYSE NATACHA QUEIROZ FERREIRA GOMES","4T1234","18","25","18","REGULAR","27/06/2022","CONSOLIDADA","PRESENCIAL"
"METODOLOGIA DA PESQUISA EM EDUCAÇÃO FÍSICA","PPGEF0001","TURMA 02","NÃO INFORMADO","5 - 13:00h-17:00 SALA DE AULA - DID 4 - 009","2022","1","07/03/2022","18/06/2022","FELIPE JOSE AIDAR MARTINS, RAPHAEL FABRICIO DE SOUZA","5T1234","27","27","27","REGULAR","23/06/2022","CONSOLIDADA","PRESENCIAL"
"TÉCNICAS DE COMUNICAÇÃO ESCRITA DA PESQUISA CIENTÍFICA","PPGEF0002","TURMA 01","NÃO INFORMADO","2 - 09:00h-13:00 Sala de aula 202 - DID VII","2022","1","07/03/2022","18/06/2022","ROGERIO BRANDAO WICHI","2M3456","20","25","20","REGULAR","19/07/2022","CONSOLIDADA","PRESENCIAL"
"TÉCNICAS DE COMUNICAÇÃO ESCRITA DA PESQUISA CIENTÍFICA","PPGEF0002","TURMA 02","NÃO INFORMADO","6 - 13:00h-17:00 Sala de aula 302 - DID VII","2022","1","07/03/2022","18/06/2022","DANILO RODRIGUES PEREIRA DA SILVA","6T1234","25","25","25","REGULAR","04/07/2022","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIO DE PESQUISA II","PPGEF0024","TURMA 01","NÃO INFORMADO","5 - 17:00h-19:00 Sala de aula 202 - DID VII","2022","1","07/03/2022","18/06/2022","JYMMYS LOPES DOS SANTOS, FELIPE JOSE AIDAR MARTINS, LUCIO MARQUES VIEIRA SOUZA","5T56","15","20","15","REGULAR","27/06/2022","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIO DE PESQUISA II","PPGEF0024","TURMA 02","NÃO INFORMADO","6 - 10:00h-12:00 Sala de aula 302 - DID VII","2022","1","07/03/2022","18/06/2022","RICARDO AURELIO CARVALHO SAMPAIO","6M45","22","21","21","REGULAR","14/06/2022","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIOS DE DISSERTAÇÃO","PPGE0007","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2022","1","07/03/2022","18/06/2022","MARCO ANTONIO JORGE","3T34","10","30","8","REGULAR","23/06/2022","CONSOLIDADA","PRESENCIAL"
"TEORIAS DO DESENVOLVIMENTO","PPGE0001","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2022","1","07/03/2022","18/06/2022","FERNANDA ESPERIDIÃO","3N1234","11","30","7","REGULAR","03/10/2022","CONSOLIDADA","PRESENCIAL"
